"course_id","course_title","url","is_paid","price","num_subscribers","num_reviews","num_lectures","level","content_duration","published_timestamp","subject"
383414,"Beginner to Pro in PowerPoint: Complete PowerPoint Training","https://www.udemy.com/powerpoint-master-class-for-business-and-finance-graduates/","True",150,5786,518,50,"All Levels",5,"2015-01-31T15:34:05Z","Business Finance"
831066,"Learn MQL5: Build an 8-Currency Hedging Robot (MetaTrader 5)","https://www.udemy.com/learn-mql5/","True",150,2877,103,81,"All Levels",4.5,"2016-04-26T22:41:46Z","Business Finance"
434774,"Options Trading Stocks: Proven Toolbox For Financial Success","https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/","True",195,7884,118,68,"Intermediate Level",10,"2015-05-19T23:25:41Z","Business Finance"
308690,"Forex Trading A-Z™ - With LIVE Examples of Forex Trading","https://www.udemy.com/forex-trading/","True",195,16900,2476,52,"Beginner Level",5.5,"2014-12-12T23:58:39Z","Business Finance"
321410,"Beginner to Pro in Excel: Financial Modeling and Valuation","https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/","True",195,22257,2697,138,"All Levels",7.5,"2014-11-25T23:00:40Z","Business Finance"
965832,"The Complete Investment Banking Course 2017","https://www.udemy.com/the-complete-investment-banking-course-2016/","True",195,8575,809,110,"All Levels",5.5,"2016-10-10T16:16:26Z","Business Finance"
648826,"The Complete Financial Analyst Course 2017","https://www.udemy.com/the-complete-financial-analyst-course/","True",195,24481,2347,174,"All Levels",10,"2016-01-21T01:38:48Z","Business Finance"
1035472,"Python for Finance: Investment Fundamentals & Data Analytics","https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/","True",195,3811,278,103,"All Levels",6.5,"2017-03-30T22:17:09Z","Business Finance"
1154754,"Financial Modeling for Startups & Small Businesses","https://www.udemy.com/financial-modeling-for-startups-small-businesses/","True",195,4991,137,79,"Beginner Level",11.5,"2017-03-29T22:36:05Z","Business Finance"
1214702,"Three Steps Trading - Live Trading - Real Account","https://www.udemy.com/three-steps-trading-live-trading-real-account/","True",190,1197,11,46,"All Levels",5,"2017-05-24T23:02:07Z","Business Finance"
848664,"Option Trading for Rookies:  Understand Options Completely","https://www.udemy.com/complete-course-introduction-to-option-trading/","True",150,2893,65,62,"All Levels",2,"2016-08-10T15:27:06Z","Business Finance"
994754,"The Power Modeling Bootcamp: Advanced Excel in 10 Days","https://www.udemy.com/the-power-modeling-bootcamp-advanced-excel-in-10-days/","True",150,1680,158,76,"All Levels",5.5,"2016-11-26T04:09:14Z","Business Finance"
43319,"Options Trading Basics (3-Course Bundle)","https://www.udemy.com/learn-options-trading-courses/","True",180,10100,985,45,"Beginner Level",11,"2013-02-25T11:36:06Z","Business Finance"
302562,"Introduction to Accounting: The Language of Business","https://www.udemy.com/learnaccountingforfree/","True",20,11958,370,134,"Beginner Level",11.5,"2014-10-02T09:16:55Z","Business Finance"
891484,"Forex Trading - Advanced Fundamental Analysis","https://www.udemy.com/forex-trading-advanced-fundamental-analysis/","True",20,1754,100,49,"Intermediate Level",2.5,"2016-06-30T17:06:46Z","Business Finance"
308696,"Forex MetaTrader 4: Master MT4 Like A Pro Forex Trader","https://www.udemy.com/metatrader4/","True",150,2602,402,57,"Beginner Level",5,"2015-10-28T17:32:56Z","Business Finance"
923616,"Website Investing 101 - Buying & Selling Online Businesses","https://www.udemy.com/cash-flow-website-investing-buy-sell-online-businesses-digital-assets/","False",0,6811,151,51,"All Levels",2,"2016-08-05T17:03:15Z","Business Finance"
866584,"Advanced Accounting A Complete Study for CA / CMA / CFA / CS","https://www.udemy.com/branch-accounts-a-complete-analysis/","True",150,1535,16,462,"All Levels",62,"2016-06-03T17:42:27Z","Business Finance"
1100054,"FOREX TRADING - Learn in a quick + profitable way + support","https://www.udemy.com/forex-the-only-simple-trading-your-ever-need-bank-trading/","True",100,271,48,47,"All Levels",3.5,"2017-02-20T23:45:20Z","Business Finance"
920604,"Intro to Financial Modeling","https://www.udemy.com/intro-to-financial-modeling/","True",105,1077,110,55,"Beginner Level",6,"2016-08-19T20:12:24Z","Business Finance"
722174,"Forex Trading MAKE YOUR FIRST TRADE TODAY!","https://www.udemy.com/trade-forex/","True",150,3523,46,45,"All Levels",4,"2016-01-10T21:39:39Z","Business Finance"
907444,"SAP FICO For Beginners - A Guide to SAP Financial Accounts","https://www.udemy.com/sap-fico-for-sap-beginners/","True",100,1444,101,59,"Beginner Level",5,"2016-07-25T16:08:07Z","Business Finance"
221306,"Accounting Is Easy (for Beginners)","https://www.udemy.com/fundamentals-of-accountancy/","True",20,3870,12,90,"All Levels",9,"2014-05-20T18:13:38Z","Business Finance"
155344,"Introduction to Bookkeeping (Accounting)","https://www.udemy.com/introduction-to-bookkeeping/","True",20,3251,10,59,"Beginner Level",12,"2014-01-31T20:40:36Z","Business Finance"
218416,"Trading Binary Options for Fun and Profit","https://www.udemy.com/trading-binary-options-for-fun-and-profit/","True",20,1574,24,46,"All Levels",2,"2015-02-21T00:36:13Z","Business Finance"
